importer,period,net_coal,net_gas,net_oil
ESP,2016,7.746,24.725,61.762
ESP,2017,10.915,27.619,63.164
SWE,1991,2.363,0.616,14.855
SWE,1992,2.3,0.696,14.896
SWE,1993,2.316,0.759,15.41
SWE,1994,2.571,0.754,17.165
SWE,1995,2.745,0.755,16.07
SWE,1996,2.464,0.809,17.501
SWE,1997,2.61,0.799,16.668
SWE,1998,2.406,0.792,17.687
SWE,1999,2.262,0.793,15.82
SWE,2000,2.406,0.776,15.733
SWE,2001,2.46,0.875,16.572
SWE,2002,2.382,0.891,16.232
SWE,2003,2.592,0.888,18.253
SWE,2004,2.623,0.884,17.046
SWE,2005,2.552,0.843,17.465
SWE,2006,2.335,0.882,16.089
SWE,2007,2.48,0.911,15.496
SWE,2008,2.271,0.827,16.755
SWE,2009,1.353,1.09,14.894
SWE,2010,2.546,1.466,15.509
SWE,2011,2.351,1.159,15.954
SWE,2012,1.715,1.007,14.32
SWE,2013,1.827,0.955,14.33
SWE,2014,1.99,0.794,14.248
SWE,2015,1.954,0.724,13.046
SWE,2016,2.224,0.818,13.935
SWE,2017,1.958,0.939,11.494
GBR,1991,12.01,5.572,-7.879
GBR,1992,13.126,4.692,-10.792
GBR,1993,12.083,3.227,-16.787
GBR,1994,9.604,1.818,-44.214
GBR,1995,10.48,0.637,-50.303
GBR,1996,11.762,0.356,-48.25
GBR,1997,12.825,-0.589,-49.147
GBR,1998,13.738,-1.627,-51.519
GBR,1999,12.949,-5.539,-56.75
GBR,2000,14.457,-9.311,-46.725
GBR,2001,21.662,-8.339,-36.845
GBR,2002,18.09,-6.984,-39.702
GBR,2003,20.63,-7.022,-28.127
GBR,2004,22.472,1.464,-14.349
GBR,2005,27.264,5.973,-2.743
GBR,2006,31.306,9.552,7.414
GBR,2007,26.969,16.627,1.756
GBR,2008,27.244,22.162,7.436
GBR,2009,23.259,25.904,5.951
GBR,2010,16.045,33.902,10.895
GBR,2011,19.657,32.521,20.052
GBR,2012,27.014,32.706,26.795
GBR,2013,31.328,33.939,27.895
GBR,2014,26.488,27.939,30.25
GBR,2015,14.592,26.47,26.968
GBR,2016,6.017,32.338,25.344
GBR,2017,5.793,30.898,25.706
USA,1991,-67.335,37.787,349.88
USA,1992,-62.428,44.019,372.84
USA,1993,-43.017,51.138,407.592
USA,1994,-40.684,57.11,428.816
USA,1995,-51.612,62.256,419.461
USA,1996,-53.639,64.571,452.002
USA,1997,-48.084,65.881,484.758
USA,1998,-44.366,69.502,513.754
USA,1999,-30.123,79.34,520.403
USA,2000,-28.301,82.207,549.545
USA,2001,-15.476,83.765,574.5
USA,2002,-11.422,81.258,557.256
USA,2003,-9.015,76.098,593.894
USA,2004,-7.368,79.542,640.251
USA,2005,-9.862,84.18,659.399
USA,2006,-6.303,80.651,652.141
USA,2007,-12.483,88.356,634.791
USA,2008,-27.126,70.236,589.673
USA,2009,-22.109,62.4,517.682
USA,2010,-36.8,60.764,508.201
USA,2011,-55.148,45.997,460.097
USA,2012,-68.392,35.622,405.016
USA,2013,-63.023,30.677,341.429
USA,2014,-50.834,27.59,277.586
USA,2015,-37.917,22.196,266.229
USA,2016,-31.001,16.872,273.753
USA,2017,-53.476,-4.03,228.072
ZAF,1991,-31.916,0,9.897
ZAF,1992,-35.172,0,11.082
ZAF,1993,-34.921,0,8.948
ZAF,1994,-37.078,0,10.538
ZAF,1995,-40.085,0,12.913
ZAF,1996,-40.391,0,13.501
ZAF,1997,-43.014,0,11.965
ZAF,1998,-40.493,0,15.632
ZAF,1999,-43.828,0,12.312
ZAF,2000,-46.046,0,13.415
ZAF,2001,-45.51,0,11.316
ZAF,2002,-45.171,0,9.012
ZAF,2003,-46.694,0,14.831
ZAF,2004,-44.251,1.122,15.525
ZAF,2005,-46.428,0.976,14.875
ZAF,2006,-44.641,1.122,15.707
ZAF,2007,-43.517,1.993,23.129
ZAF,2008,-37.017,2.255,24.169
ZAF,2009,-33.333,2.067,28.298
ZAF,2010,-43.449,2.614,23.012
ZAF,2011,-44.268,2.733,26.179
ZAF,2012,-48.952,3.08,22.994
ZAF,2013,-49.218,3.067,22.539
ZAF,2014,-45.578,3.075,25.087
ZAF,2015,-50.346,3.33,22.628
ZAF,2016,-46.447,3.504,20.766
ZAF,2017,-47.161,3.526,22.429
